Dataset,Method,Algorithm,Training Size,Actual Size Trained,Layer,AUC,MAP,BRP_90
commonsense_qa,Black Box,BB,100,100,,0.6735439999999999,0.6522662236933586,0.008
commonsense_qa,Black Box,BB,200,200,,0.6767439999999999,0.6466478883531539,0.0
commonsense_qa,Black Box,BB,500,500,,0.740548,0.7248708543462171,0.0
commonsense_qa,Black Box,BB,1000,1000,,0.7427840000000001,0.731472426495577,0.068
commonsense_qa,Black Box,BB,2000,2000,,0.747424,0.7284146176212388,0.108
commonsense_qa,Black Box,BB,5000,5000,,0.7523880000000001,0.7363530195063539,0.1
race,Black Box,BB,100,100,,0.6882320000000001,0.6563928118497704,0.04
race,Black Box,BB,200,200,,0.67616,0.6368021639100323,0.002
race,Black Box,BB,500,500,,0.725796,0.7059583064213125,0.072
race,Black Box,BB,1000,1000,,0.734364,0.7078924009344703,0.036
race,Black Box,BB,2000,2000,,0.746764,0.729391296163603,0.06
race,Black Box,BB,5000,5000,,0.750452,0.734311901297839,0.046
open_book_qa,Black Box,BB,100,100,,0.66792,0.6474283945010285,0.002
open_book_qa,Black Box,BB,200,200,,0.723884,0.6763274813640915,0.0
open_book_qa,Black Box,BB,500,500,,0.716202,0.6693606198100394,0.0
open_book_qa,Black Box,BB,1000,1000,,0.7274479999999999,0.697942231152985,0.0
open_book_qa,Black Box,BB,2000,2000,,0.7362280000000001,0.7174393022245971,0.028
open_book_qa,Black Box,BB,5000,5000,,0.7455080000000001,0.7315102088636468,0.082
boolq,Black Box,BB,100,100,,0.6472640000000001,0.621740822771271,0.002
boolq,Black Box,BB,200,200,,0.6683699999999999,0.6385738890397814,0.002
boolq,Black Box,BB,500,500,,0.702496,0.6713242088121579,0.0
boolq,Black Box,BB,1000,1000,,0.72324,0.7143321658382165,0.0
boolq,Black Box,BB,2000,2000,,0.7310960000000001,0.7133685885742921,0.0
boolq,Black Box,BB,5000,5000,,0.740748,0.7380508967184943,0.024
imdb,Black Box,BB,100,100,,0.659304,0.6860310608001001,0.01
imdb,Black Box,BB,200,200,,0.631756,0.6814689258779403,0.128
imdb,Black Box,BB,500,500,,0.621608,0.6720312403845912,0.004
imdb,Black Box,BB,1000,1000,,0.64838,0.6908319922930388,0.004
imdb,Black Box,BB,2000,2000,,0.6426240000000001,0.6745484249960726,0.002
imdb,Black Box,BB,5000,5000,,0.64412,0.6785714173006816,0.002
amazon_polarity,Black Box,BB,100,100,,0.7397640000000001,0.7047857079381914,0.004
